緯度,經度,案件編號,立案案號,事項
23.0520306,120.2696373, UN201602010327 , A-TB-2016-6356 , 小廣告旗幟 
23.0383452,120.2007224, UN201602010374 , A-TB-2016-6374 , 其他汙染舉發 
23.014005,120.2637527, UN201602020288 , A-TB-2016-6614 , 道路散落物 
23.1853159,120.250301, UN201602030275 , A-TB-2016-6810 , 道路散落物 
23.0306756,120.2556345, UN201602040040 , A-TB-2016-6918 , 其他汙染舉發 
23.0004,120.2386552, UN201602040049 , A-TB-2016-6923 , 大型廢棄物清運 
23.0004,120.2386552, UN201602040052 , 同A-TB-2016-6923 , 大型廢棄物清運 
22.9594582,120.2233555, UN201602040152 , A-TB-2016-6975 , 環境髒亂 
23.1694465,120.1704766, UN201602040207 , A-TB-2016-7006 , 道路散落物 
23.1694465,120.1704766, UN201602040215 , A-TB-2016-7007 , 其他汙染舉發 
23.1694465,120.1704766, UN201602040225 , 同A-TB-2016-7006 , 其他汙染舉發 
23.1417046,120.1400914, UN201602040301 , A-TB-2016-7074 , 其他汙染舉發 
23.1417046,120.1400914, UN201602040302 , 同A-TB-2016-7074 併案 , 其他汙染舉發 
23.0277538,120.2004672, UN201602050050 , A-TB-2016-7151 , 遊蕩犬隻捕捉管制 
22.980351,120.188798, UN201602060606 , A-TB-2016-7394 , 環境髒亂 
22.9844994,120.1689531, UN201602070129 , A-TB-2016-7728 , 環境髒亂 
23.0095688,120.2000106, UN201602070637 , A-TB-2016-7782 , 小廣告旗幟 
22.9929344,120.1971214, UN201602080437 , A-TB-2016-7916 , 環境髒亂 
22.9929344,120.1971214, UN201602080558 , A-TB-2016-7884 , 環境髒亂 
23.0095204,120.2057113, UN201602080809 , A-TB-2016-7984 , 小廣告旗幟 
22.9929344,120.1971214, UN201602090007 , A-TB-2016-7989 , 環境髒亂 
22.9929344,120.1971214, UN201602090257 , A-TB-2016-8051 , 環境髒亂 
22.9929344,120.1971214, UN201602090258 , A-TB-2016-8052 , 環境髒亂 
22.9929344,120.1971214, UN201602090388 , A-TB-2016-8083 , 道路散落物 
22.9929344,120.1971214, UN201602100003 , A-TB-2016-8157 , 環境髒亂 
22.9929344,120.1971214, UN201602100198 , A-TB-2016-8203 , 環境髒亂 
22.9929344,120.1971214, UN201602110017 , A-TB-2016-8301 , 道路散落物 
22.9929344,120.1971214, UN201602110221 , A-TB-2016-8358 , 環境髒亂 
22.9929344,120.1971214, UN201602110505 , A-TB-2016-8454 , 道路散落物 
23.0316011,120.2505691, UN201602120280 , A-TB-2016-8577 , 大型廢棄物清運 
23.0313702,120.250874, UN201602120282 , 同 A-TB-2016-8577 併案 , 大型廢棄物清運 
22.9930541,120.2325006, UN201602120383 , 同案件A-TB-2016-8554 , 小廣告旗幟 
23.0436158,120.2351071, UN201602130094 , A-TB-2016-8649 , 環境髒亂 
23.021937,120.2325298, UN201602130312 , A-TB-2016-8718 , 道路散落物 
23.0095204,120.2057113, UN201602130453 , A-TB-2016-8758 , 小廣告旗幟 
22.9656368,120.2333985, UN201602140789 , A-TB-2016-8865 , 環境髒亂 
23.1048787,120.295347, UN201602140841 , A-TB-2016-8902 , 其他汙染舉發 
23.3197077,120.2682538, UN201602140979 , A-TB-2016-8966 , 環境髒亂 
23.3197077,120.2682538, UN201602140980 , 同A-TB-2016-8966 , 環境髒亂 
23.3197077,120.2682538, UN201602140981 , 同A-TB-2016-8966 , 環境髒亂 
23.0681598,120.2222111, UN201602150186 , A-TB-2016-9072 , 其他汙染舉發 
23.0313578,120.250778, UN201602150594 , A-TB-2016-9123 , 大型廢棄物清運 
23.0313702,120.250874, UN201602150596 , UN201602150594 , 大型廢棄物清運 
23.1694465,120.1704766, UN201602150644 , A-TB-2016-9151 , 環境髒亂 
22.979609,120.191698, UN201602160305 , A-TB-2016-9274 , 市區道路路面油漬 
23.3111677,120.3253736, UN201602170332 , A-TB-2016-9530 , 其他汙染舉發 
23.0905461,120.2682382, UN201602180008 , A-TB-2016-9662 , 道路散落物 
23.0917895,120.267616, UN201602180287 , A-TB-2016-9762 , 環境髒亂 
22.9185694,120.2126643, UN201602190095 , A-TB-2016-9896 , 市區道路路面油漬 
22.991006,120.2225611, UN201602190099 , A-TB-2016-9912 , 其他汙染舉發 
23.1325615,120.2975312, UN201602200044 , A-TB-2016-10124 , 場所連續噪音 
23.0165497,120.1944958, UN201602200281 , A-TB-2016-10206 , 其他汙染舉發 
22.999056,120.239871, UN201602210007 , A-TB-2016-10307 , 市區道路路面油漬 
22.9649478,120.3282932, UN201602220292 , A-TB-2016-10610 , 道路散落物 
22.9702147,120.2087691, UN201602220398 , A-TB-2016-10635 , 道路散落物 
23.0215659,120.2616747, UN201602220468 , A-TB-2016-10668 , 市區道路路面油漬 
23.045279,120.22517, UN201602230324 , A-TB-2016-10916 , 環境髒亂 
22.9987361,120.208082, UN201602240302 , A-TB-2016-11098 , 環境髒亂 
23.0788956,120.2951552, UN201602240365 , A-TB-2016-11128 , 路面油漬 
23.0070734,120.21976, UN201602250263 , A-TB-2016-11309 , 道路散落物 
22.98839,120.1845721, UN201602250341 , A-TB-2016-11367 , 道路散落物 
23.0206718,120.2738358, UN201602260073 , A-TB-2016-11445 , 道路散落物 
22.9894493,120.2094979, UN201602260147 , A-TB-2016-11482 , 環境髒亂 
22.9838119,120.2157378, UN201602260181 , A-TB-2016-11506 , 大型廢棄物清運 
23.0403342,120.3057687, UN201602260185 , A-TB-2016-11505 , 大型廢棄物清運 
22.9374305,120.2491213, UN201602260429 , A-TB-2016-11635 , 其他汙染舉發 
23.0472829,120.1782013, UN201602270003 , A-TB-2016-11646 , 場所連續噪音 
22.9842819,120.2145245, UN201602270174 , 同A-TB-2016-11740 併案 , 環境髒亂 
22.9979803,120.1943284, UN201602270219 , A-TB-2016-11774 , 環境髒亂 
22.9711106,120.2566848, UN201602270282 , A-TB-2016-11819 , 道路散落物 
22.960132,120.222101, UN201602270332 , A-TB-2016-11846 , 道路散落物 
22.998261,120.198183, UN201602290146 , 同A-TB-2016-12075 , 道路散落物 
22.997994,120.198117, UN201602290148 , A-TB-2016-12075 , 道路散落物 
23.0194999,120.2468047, UN201602290181 , A-TB-2016-12084 , 其他汙染舉發 
23.0510912,120.1472968, UN201602290222 , A-TB-2016-12118 , 其他汙染舉發 
22.9990238,120.2076773, UN201603010335 , A-TB-2016-12187 , 道路散落物 
23.254017,120.309399, UN201603010421 , A-TB-2016-12218 , 其他汙染舉發 
22.974846,120.1909519, UN201603010483 , A-TB-2016-12254 , 市區道路路面油漬 
22.9937692,120.1941676, UN201603010500 , A-TB-2016-12252 , 道路散落物 
22.9960366,120.175822, UN201603010522 , A-TB-2016-12267 , 道路散落物 
23.1192752,120.3490103, UN201603010602 , A-TB-2016-12305 , 其他汙染舉發 
22.993166,120.202435, UN201603020041 , A-TB-2016-12431 , 場所連續噪音 
22.9878534,120.1934188, UN201603020300 , A-TB-2016-12595 , 其他汙染舉發 
22.9827781,120.2086046, UN201603020377 , A-TB-2016-12637 , 環境髒亂 
22.9827781,120.2086046, UN201603020378 , 併案 A-TB-2016-12637 , 環境髒亂 
22.9827781,120.2086046, UN201603020379 , 併案 A-TB-2016-12637 , 環境髒亂 
23.3159096,120.3028402, UN201603030089 , A-TB-2016-12678 , 道路散落物 
23.0126622,120.2286686, UN201603040001 , A-TB-2016-12847 , 路面油漬 
23.2255268,120.1739011, UN201603040015 , A-TB-2016-12855 , 環境髒亂 
22.9825933,120.1812512, UN201603040060 , A-TB-2016-12882 , 道路散落物 
23.0002093,120.1616106, UN201603050062 , A-TB-2016-13074 , 環境髒亂 
23.0002093,120.1616106, UN201603050120 , A-TB-2016-13099 , 環境髒亂 
23.0021847,120.1951515, UN201603050181 , A-TB-2016-13126 , 道路散落物 
23.185414,120.240499, UN201603060009 , A-TB-2016-13205 , 市區道路路面油漬 
22.960132,120.222101, UN201603060026 , A-TB-2016-13216 , 道路散落物 
22.9721829,120.2503024, UN201603060054 , A-TB-2016-13235 , 市區道路路面油漬 
23.0054451,120.2316274, UN201603060147 , A-TB-2016-13289 , 其他汙染舉發 
23.3298039,120.4071169, UN201603060268 , A-TB-2016-13364 , 其他汙染舉發 
22.9891007,120.1920835, UN201603070328 , A-TB-2016-13591 , 場所連續噪音 
23.0089165,120.2240707, UN201603070468 , A-TB-2016-13625 , 場所連續噪音 
22.9526636,120.1799332, UN201603070477 , A-TB-2016-13650 , 道路散落物 
23.0182655,120.2540327, UN201603080010 , A-TB-2016-13648 , 道路散落物 
23.0189031,120.217352, UN201603080253 , A-TB-2016-13770 , 場所連續噪音 
22.9981795,120.1978481, UN201603090004 , A-TB-2016-13889 , 路面油漬 
22.9964835,120.1985354, UN201603090117 , A-TB-2016-13968 , 其他汙染舉發 
23.0068611,120.1914601, UN201603090288 , A-TB-2016-14074 , 環境髒亂 
23.0144452,120.229092, UN201603090346 , A-TB-2016-14089 , 其他汙染舉發 
23.1119128,120.4757091, UN201603090358 , A-TB-2016-14103 , 道路散落物 
23.009051,120.208736, UN201603090389 , A-TB-2016-14118 , 道路散落物 
23.0017383,120.2062692, UN201603090391 , A-TB-2016-14117 , 道路散落物 
22.9900099,120.182627, UN201603100027 , A-TB-2016-14131 , 道路散落物 
23.0191223,120.2413962, UN201603100150 , A-TB-2016-14232 , 路面油漬 
23.1271507,120.3202059, UN201603110314 , A-TB-2016-14542 , 道路散落物 
23.1255369,120.25089, UN201603120026 , A-TB-2016-14615 , 道路散落物 
23.1297863,120.2968991, UN201603120036 , A-TB-2016-14622 , 其他汙染舉發 
22.981117,120.199213, UN201603120063 , A-TB-2016-14624 , 道路散落物 
22.9972343,120.211936, UN201603120112 , A-TB-2016-14665 , 其他汙染舉發 
23.0359317,120.2079444, UN201603120193 , A-TB-2016-14712 , 道路散落物 
22.9882049,120.1866632, UN201603130014 , A-TB-2016-14800 , 道路散落物 
23.0053883,120.2420467, UN201603140018 , A-TB-2016-14961 , 場所連續噪音 
23.1578545,120.1710268, UN201603140059 , A-TB-2016-14975 , 道路散落物 
23.0301818,120.1376955, UN201603150011 , A-TB-2016-15162 , 道路散落物 
22.9950533,120.185475, UN201603150128 , A-TB-2016-15214 , 其他汙染舉發 
23.0962644,120.2105423, UN201603150175 , A-TB-2016-15240 , 場所連續噪音 
22.981558,120.221183, UN201603160009 , A-TB-2016-15374 , 道路散落物 
23.0610533,120.2834327, UN201603160145 , A-TB-2016-15452 , 大型廢棄物清運 
22.956518,120.2560845, UN201603160263 , A-TB-2016-15516 , 道路散落物 
22.9974668,120.1945899, UN201603160271 , A-TB-2016-15521 , 環境髒亂 
23.0007177,120.1616202, UN201603160324 , A-TB-2016-15557 , 道路散落物 
23.0368299,120.2052078, UN201603170152 , A-TB-2016-15654 , 道路散落物 
23.0652484,120.1337542, UN201603170318 , A-TB-2016-15772 , 道路散落物 
23.083685,120.2953625, UN201603180010 , A-TB-2016-15810 , 道路散落物 
23.0142092,120.2636993, UN201603180026 , A-TB-2016-15821 , 道路散落物 
22.9943366,120.1847611, UN201603180042 , A-TB-2016-15834 , 大型廢棄物清運 
22.9943366,120.1847611, UN201603180043 , UN201603180042 , 大型廢棄物清運 
22.949442,120.1845584, UN201603180122 , A-TB-2016-15874 , 環境髒亂 
22.9986353,120.1702444, UN201603180329 , A-TB-2016-16004 , 其他汙染舉發 
22.9924657,120.1883612, UN201603180373 , A-TB-2016-16051 , 道路散落物 
23.139793,120.325545, UN201603190104 , A-TB-2016-16125 , 其他汙染舉發 
23.0690496,120.1871659, UN201603190248 , A-TB-2016-16219 , 道路散落物 
23.0256949,120.1964349, UN201603200048 , A-TB-2016-16274 , 其他汙染舉發 
23.0543435,120.1395788, UN201603200050 , A-TB-2016-16298 , 道路散落物 
22.987615,120.2332004, UN201603200053 , A-TB-2016-16281 , 其他汙染舉發 
23.0046051,120.1864642, UN201603200066 , A-TB-2016-16287 , 其他汙染舉發 
23.1197035,120.2882393, UN201603200138 , A-TB-2016-16338 , 道路散落物 
22.987615,120.2332004, UN201603200147 , A-TB-2016-16343 , 場所連續噪音 
22.9808558,120.1937347, UN201603200162 , A-TB-2016-16348 , 道路散落物 
23.213615,120.239394, UN201603200299 , A-TB-2016-16462 , 其他汙染舉發 
23.73622,120.41652, UN201603200301 , A-TB-2016-16464 , 道路散落物 
23.0101416,120.1856206, UN201603200303 , A-TB-2016-16501 , 環境髒亂 
23.0686457,120.1782561, UN201603210113 , A-TB-2016-16568 , 場所連續噪音 
23.0002075,120.1607582, UN201603210235 , A-TB-2016-16660 , 場所連續噪音 
23.3182059,120.2997576, UN201603210297 , A-TB-2016-16715 , 道路散落物 
23.0662715,120.1928126, UN201603210360 , A-TB-2016-16742 , 路面油漬 
23.03338,120.2905, UN201603210383 , A-TB-2016-16759 , 道路散落物 
22.990803,120.2048108, UN201603220106 , A-TB-2016-16834 , 其他汙染舉發 
22.992824,120.1919891, UN201603220134 , A-TB-2016-16854 , 道路散落物 
23.0002075,120.1607582, UN201603220173 , A-TB-2016-16880 , 場所連續噪音 
22.9575022,120.2308261, UN201603220247 , A-TB-2016-16933 , 環境髒亂 
22.9945363,120.1932772, UN201603220281 , A-TB-2016-16958 , 環境髒亂 
22.9324633,120.1827312, UN201603230012 , A-TB-2016-17022 , 路面油漬 
22.998364,120.1761441, UN201603230023 , A-TB-2016-17030 , 環境髒亂 
23.0058443,120.1846254, UN201603230053 , A-TB-2016-17063 , 路面油漬 
22.9847814,120.2079978, UN201603230105 , , 其他汙染舉發 
23.0377982,120.2405145, UN201603230110 , 錄案 , 其他汙染舉發 
23.0235764,120.2247853, UN201603230113 , 錄案 , 其他汙染舉發 
23.0452686,120.2355012, UN201603230220 , A-TB-2016-17176 , 其他汙染舉發 
22.990803,120.2048108, UN201603240036 , A-TB-2016-17281 , 路面油漬 
22.998364,120.1761441, UN201603240042 , A-TB-2016-17284 , 環境髒亂 
22.9263174,120.1867345, UN201603240217 , A-TB-2016-17394 , 其他汙染舉發 
22.962532,120.195515, UN201603240265 , A-TB-2016-17423 , 道路散落物 
22.998364,120.1761441, UN201603250049 , A-TB-2016-17497 , 環境髒亂 
22.9895024,120.2625097, UN201603250289 , A-TB-2016-17655 , 其他汙染舉發 
22.9895024,120.2625097, UN201603250298 , 同A-TB-2016-17655 , 其他汙染舉發 
23.1368976,120.3222448, UN201603260306 , A-TB-2016-17912 , 道路散落物 
23.0093546,120.1836708, UN201603270042 , A-TB-2016-17960 , 其他汙染舉發 
23.1699834,120.1502979, UN201603270087 , A-TB-2016-17987 , 其他汙染舉發 
22.9824357,120.1858572, UN201603270115 , A-TB-2016-18008 , 道路散落物 
23.1297552,120.289491, UN201603280048 , A-TB-2016-18129 , 道路散落物 
23.0678954,120.1344713, UN201603280230 , A-TB-2016-18235 , 其他汙染舉發 
23.0086743,120.2222629, UN201603280269 , A-TB-2016-18260 , 市區道路路面油漬 
23.0081569,120.2067979, UN201603290494 , A-TB-2016-18408 , 其他汙染舉發 
22.9583456,120.2252407, UN201603290573 , A-TB-2016-18452 , 場所連續噪音 
23.2414892,120.1868296, UN201603290577 , A-TB-2016-18465 , 道路散落物 
23.129725,120.314164, UN201603290638 , A-TB-2016-18508 , 道路散落物 
22.9594582,120.2233555, UN201603290745 , A-TB-2016-18592 , 環境髒亂 
23.019375,120.2324632, UN201603290763 , A-TB-2016-18571 , 環境髒亂 
23.019375,120.2324632, UN201603290764 , 同A-TB-2016-18571 併案 , 環境髒亂 
23.0189394,120.2617318, UN201603290814 , A-TB-2016-18606 , 其他汙染舉發 
23.0115087,120.1848703, UN201603290863 , A-TB-2016-18643 , 道路散落物 
22.9955143,120.1476021, UN201603290876 , A-TB-2016-18659 , 場所連續噪音 
22.9981901,120.1697051, UN201603300004 , A-TB-2016-18665 , 其他汙染舉發 
23.1301484,120.3000238, UN201603300054 , A-TB-2016-18698 , 道路散落物 
23.0098077,120.2664304, UN201603300230 , A-TB-2016-18837 , 道路散落物 
22.9709631,120.227176, UN201603300318 , A-TB-2016-18900 , 大型廢棄物清運 
22.9876352,120.221701, UN201603300321 , A-TB-2016-18910 , 其他汙染舉發 
23.0078159,120.2149891, UN201603300356 , A-TB-2016-18922 , 環境髒亂 
23.0166696,120.1895724, UN201603310014 , A-TB-2016-18962 , 道路散落物 
23.051791,120.199262, UN201603310032 , A-TB-2016-18971 , 環境髒亂 
23.051791,120.199262, UN201603310033 , 同A-TB-2016-18971 , 環境髒亂 
23.0093424,120.2416746, UN201603310190 , A-TB-2016-19069 , 道路散落物 
23.0096575,120.2463453, UN201603310192 , A-TB-2016-19062 , 道路散落物 
23.0208377,120.201076, UN201604010011 , A-TB-2016-19175 , 路面油漬 
23.2832702,120.3772732, UN201604010386 , A-TB-2016-19405 , 其他汙染舉發 
22.9923382,120.256128, UN201604020015 , A-TB-2016-19422 , 道路散落物 
23.0165693,120.2597947, UN201604020085 , A-TB-2016-19444 , 環境髒亂 
