緯度,經度,案件編號,立案案號
23.0008012,120.2255972, UN201504230143 , A-TB-2015-18222 
22.9928839,120.2007203, UN201504230152 , A-TB-2015-18218 
22.9916869,120.2105063, UN201504230154 , A-TB-2015-18224 
23.0012841,120.2288667, UN201504230194 , A-TB-2015-18243 
23.0084693,120.193643, UN201504230199 , A-TB-2015-18247 
22.9936355,120.2023638, UN201504230215 , A-TB-2015-18271 
23.0190703,120.2216801, UN201504230223 , A-TB-2015-18268 
22.9915467,120.2141693, UN201504230241 , A-TB-2015-18279 
23.0158894,120.2364149, UN201504230253 , A-TB-2015-18287 
22.9952058,120.2097062, UN201504230280 , A-TB-2015-18301 
22.9958559,120.2269133, UN201504230284 , A-TB-2015-18306 
22.9648724,120.224635, UN201504230285 , A-TB-2015-18307 
23.020031,120.209866, UN201504230289 , A-TB-2015-18312 
22.9943326,120.2146941, UN201504230296 , A-TB-2015-18315 
22.9965896,120.2158356, UN201504230301 , A-TB-2015-18316 
22.9956684,120.2004055, UN201504230303 , A-TB-2015-18321 
22.9805187,120.207189, UN201504230326 , A-TB-2015-18339 
22.998268,120.253104, UN201504230342 , A-TB-2015-18337 
22.9909296,120.2477231, UN201504230355 , A-TB-2015-18348 
22.9911095,120.1947918, UN201504240015 , A-TB-2015-18367 
22.98133,120.2224227, UN201504240025 , A-TB-2015-18370 
22.9781138,120.2139533, UN201504240071 , A-TB-2015-18386 
23.029129,120.23662, UN201504240076 , A-TB-2015-18391 
22.9841403,120.225288, UN201504240100 , A-TB-2015-18404 
22.9944261,120.2107642, UN201504240123 , A-TB-2015-18421 
23.3021974,120.3029224, UN201504240124 , A-TB-2015-18449 
22.9937674,120.2147497, UN201504240165 , A-TB-2015-18453 
22.9327385,120.2306266, UN201504240170 , A-TB-2015-18457 
22.9825532,120.2046659, UN201504240176 , A-TB-2015-18455 
22.9863307,120.1976046, UN201504240178 , A-TB-2015-18456 
23.0110962,120.2243803, UN201504240196 , A-TB-2015-18475 
23.0093339,120.2474789, UN201504240199 , A-TB-2015-18476 
22.9658061,120.2298884, UN201504240243 , A-TB-2015-18511 
22.9764984,120.1925378, UN201504240268 , A-TB-2015-18521 
23.0100556,120.2079485, UN201504240279 , A-TB-2015-18522 
23.3182035,120.3163292, UN201504240285 , A-TB-2015-18528 
22.9958559,120.2269133, UN201504240300 , A-TB-2015-18538 
22.993827,120.207283, UN201504240307 , A-TB-2015-18541 
22.9940378,120.2107761, UN201504240330 , A-TB-2015-18553 
22.9916869,120.2105063, UN201504240336 , A-TB-2015-18547 
22.9918776,120.2104208, UN201504240337 , A-TB-2015-18576 
23.0022298,120.1951514, UN201504240362 , A-TB-2015-18565 
23.011546,120.206343, UN201504240372 , A-TB-2015-18579 
23.062517,120.2185215, UN201504250013 , A-TB-2015-18588 
22.9886295,120.2179022, UN201504250031 , A-TB-2015-18600 
23.0682329,120.2900512, UN201504250041 , A-TB-2015-18608 
23.3108177,120.3224311, UN201504250062 , A-TB-2015-18617 
23.3041656,120.3025097, UN201504250075 , A-TB-2015-18626 
22.9957872,120.2271941, UN201504250092 , A-TB-2015-18630 
22.9930712,120.2092304, UN201504250095 , A-TB-2015-18633 
22.9925851,120.1872585, UN201504250101 , A-TB-2015-18636 
22.9964835,120.1985354, UN201504250108 , A-TB-2015-18641 
22.9812513,120.2137465, UN201504250109 , A-TB-2015-18640 
22.9940752,120.2108071, UN201504250121 , A-TB-2015-18650 
22.998043,120.2004429, UN201504250131 , A-TB-2015-18657 
22.9780449,120.2139272, UN201504250143 , A-TB-2015-18658 
22.986574,120.2231509, UN201504250146 , A-TB-2015-18659 
22.9914679,120.1996507, UN201504250151 , A-TB-2015-18662 
22.9961672,120.2341736, UN201504250158 , A-TB-2015-18665 
22.9914841,120.1990478, UN201504250159 , A-TB-2015-18668 
23.0026861,120.2034702, UN201504250183 , A-TB-2015-18682 
22.9884674,120.2331653, UN201504250194 , A-TB-2015-18690 
22.996198,120.204719, UN201504250201 , A-TB-2015-18692 
23.0023517,120.2269, UN201504250202 , A-TB-2015-18695 
22.9929862,120.2103885, UN201504250205 , A-TB-2015-18696 
22.9905847,120.1982938, UN201504250211 , A-TB-2015-18711 
22.997658,120.2035586, UN201504250213 , A-TB-2015-18703 
23.2313887,120.1805682, UN201504250219 , A-TB-2015-18701 
22.9921059,120.2104176, UN201504250221 , A-TB-2015-18700 
22.9917444,120.2241051, UN201504250224 , A-TB-2015-18730 
22.9802421,120.224004, UN201504250226 , A-TB-2015-18735 
22.9894201,120.229167, UN201504250246 , A-TB-2015-18722 
23.0084944,120.2307992, UN201504250257 , A-TB-2015-18732 
23.0635632,120.2200287, UN201504250258 , A-TB-2015-18731 
22.979184,120.184764, UN201504250261 , A-TB-2015-18728 
23.0068055,120.2065151, UN201504260025 , A-TB-2015-18784 
23.0389432,120.2393106, UN201504260029 , A-TB-2015-18785 
22.9979526,120.1948067, UN201504260043 , A-TB-2015-18771 
22.9909969,120.2085327, UN201504260051 , A-TB-2015-18788 
22.9920508,120.2106193, UN201504260055 , A-TB-2015-18777 
22.9989487,120.2009462, UN201504260072 , A-TB-2015-18796 
22.9941727,120.1925024, UN201504260075 , A-TB-2015-18789 
22.9903986,120.1968314, UN201504260080 , A-TB-2015-18820 
22.9920459,120.1894628, UN201504260091 , A-TB-2015-18808 
23.003269,120.221102, UN201504260096 , A-TB-2015-18805 
23.0033855,120.2207343, UN201504260098 , A-TB-2015-18807 
22.9933676,120.2094721, UN201504260099 , A-TB-2015-18810 
22.9922435,120.2114505, UN201504260100 , A-TB-2015-18811 
22.9918776,120.2104208, UN201504260102 , A-TB-2015-18814 
22.9814508,120.2229145, UN201504260103 , A-TB-2015-18816 
22.9950893,120.1967133, UN201504260118 , A-TB-2015-18827 
23.0123903,120.2051039, UN201504260119 , A-TB-2015-18829 
23.0099894,120.2053467, UN201504260121 , A-TB-2015-18830 
22.9900826,120.1990067, UN201504260122 , A-TB-2015-18848 
22.9921059,120.2104176, UN201504260125 , A-TB-2015-18832 
22.9920508,120.2106193, UN201504260136 , A-TB-2015-18852 
23.0002509,120.2258925, UN201504260150 , A-TB-2015-18854 
22.9962543,120.2181601, UN201504260153 , A-TB-2015-18849 
22.9884453,120.2340608, UN201504260157 , A-TB-2015-18856 
23.0032654,120.2210776, UN201504260175 , A-TB-2015-18862 
23.0384479,120.2534362, UN201504260178 , A-TB-2015-18865 
23.0099295,120.1854993, UN201504260181 , A-TB-2015-18866 
