Id,Address,Latitude,Longitude,Time,Deaths_and_Injuries,Vehicles
14847,臺南市新市區潭頂里未命名道路(潭頂536號前)路口,23.07507000000 ,120.32570000000 ,106年11月01日 07時51分58秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14848,臺南市安南區興安路南側,23.04156656659 ,120.21387261445 ,106年11月01日 08時04分00秒,死亡0;受傷1,普通重型-機車;自用-小客車
14849,臺南市永康區王行里王行路西側,23.04283627124 ,120.27347621824 ,106年11月01日 08時10分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14850,臺南市東區長榮路三段南側,22.99631192210 ,120.22193627590 ,106年11月01日 08時10分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14851,臺南市東區中華東路2段41巷,22.98745728510 ,120.23358871186 ,106年11月01日 08時20分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14852,臺南市佳里區安西里佳北路408號前0.0公尺南側,23.17039475466 ,120.17185653705 ,106年11月01日 08時50分00秒,死亡0;受傷1,普通重型-機車
14853,臺南市新化區豐榮里正新南路與民治路口,23.03156700000 ,120.30474600000 ,106年11月01日 08時54分52秒,死亡0;受傷1,電動自行車-慢車;普通重型-機車
14854,臺南市新市區新和里中正路210號前路段,23.07536953927 ,120.29154896491 ,106年11月01日 09時10分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14855,臺南市永康區忠孝路239巷24號北側,23.00506603359 ,120.23944194241 ,106年11月01日 09時17分21秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車;普通重型-機車
14856,臺南市東區林森路二段192巷24弄71號南側,22.98855205298 ,120.22550259715 ,106年11月01日 10時10分00秒,死亡0;受傷2,普通重型-機車;行人-人;行人-人
14857,臺南市永康區龍潭里永平街北側,23.02392617551 ,120.26474330927 ,106年11月01日 10時25分00秒,死亡0;受傷2,腳踏自行車-慢車;普通重型-機車
